episode,reward,steps,success,success_ma25,cumulative_solution_length,planner_used,planner_plan_found,planner_fallback_to_rl,planner_solved,planner_backend,planner_error,rl_loss,rl_batch_seconds,episode_duration_seconds
110,1.0,5,1,0.52,3953,1,1,0,1,metric_ff,,-0.007233156822621822,0.7254180000163615,0.8802454000106081
111,1.0,6,1,0.56,3959,1,1,0,1,metric_ff,,-0.014374184422194958,0.6381394999916665,0.7912898000213318
112,1.0,153,1,0.6,4112,0,1,1,0,metric_ff,,-0.00850655511021614,0.633432200003881,1.1571438999962993
113,0.0,296,0,0.56,4112,0,1,1,0,metric_ff,,-0.013762063346803188,0.6170224999950733,1.5231478000059724
114,1.0,31,1,0.6,4143,0,1,1,0,metric_ff,,-0.013223828747868538,0.5854872000054456,0.7949288999952842
115,1.0,5,1,0.64,4148,1,1,0,1,metric_ff,,-0.005443291272968054,0.6321122999943327,0.7822068000095896
116,1.0,38,1,0.64,4186,0,1,1,0,metric_ff,,-0.02350124716758728,0.6141460000071675,0.8542270000034478
117,0.0,300,0,0.64,4186,0,1,1,0,metric_ff,,-0.012503815814852715,0.5920699999842327,1.49053909999202
118,1.0,5,1,0.68,4191,1,1,0,1,metric_ff,,-0.011398997157812119,0.6109675999905448,0.7623936999880243
119,1.0,5,1,0.72,4196,1,1,0,1,metric_ff,,-0.027933422476053238,0.6451015000056941,0.8063617000007071
120,1.0,91,1,0.72,4287,0,1,1,0,metric_ff,,-0.01351422630250454,0.6774395999964327,1.0605200999998488
121,1.0,30,1,0.76,4317,0,1,1,0,metric_ff,,-0.00670089665800333,0.6171419000020251,0.8308886000013445
122,1.0,5,1,0.76,4322,1,1,0,1,metric_ff,,-0.02261441946029663,0.6290110000118148,0.7777841000061017
123,1.0,75,1,0.76,4397,0,1,1,0,metric_ff,,-0.00011360269854776561,0.6142113000096288,0.9715183000080287
124,0.0,273,0,0.72,4397,0,1,1,0,metric_ff,,-0.01744554191827774,0.6715509000059683,1.553787300013937
125,1.0,35,1,0.76,4432,0,1,1,0,metric_ff,,-0.011664584279060364,0.6108396000054199,0.862386199994944
126,0.0,291,0,0.76,4432,0,1,1,0,metric_ff,,-0.0029331971891224384,0.6306960999791045,1.5343537000007927
127,1.0,33,1,0.76,4465,0,1,1,0,metric_ff,,-0.009590611793100834,0.6330016999854706,0.8774069000210147
128,0.0,296,0,0.76,4465,0,1,1,0,metric_ff,,-0.014267783612012863,0.6184050000156276,1.5319372999947518
